date,open,high,low,close,volume
3/16/2010,24.8526,25.1033,24.8305,25.0332,186000
3/17/2010,25.4092,25.4092,25.1586,25.177,200800
3/18/2010,25.3355,25.4387,25.247,25.4387,297600
3/19/2010,25.0517,25.0554,24.6314,24.8231,799200
3/22/2010,24.8452,25.247,24.7973,25.247,224800
3/23/2010,24.9521,25.1991,24.8784,25.1881,277400
3/24/2010,24.7715,24.8858,24.613,24.8415,420200
3/25/2010,24.9558,25.0775,24.7826,24.7826,139800
3/26/2010,24.8968,25.0406,24.8681,24.9374,125200
3/29/2010,25.2655,25.2913,25.1033,25.1033,194600
3/30/2010,25.4203,25.4569,25.295,25.3244,195800
3/31/2010,25.424,25.5161,25.3134,25.3982,318200
4/1/2010,25.5235,25.859,25.5161,25.8553,1578400
4/5/2010,25.8774,25.988,25.8442,25.9474,145800
4/6/2010,25.5309,25.7926,25.4295,25.6968,687200
4/7/2010,25.4793,25.6746,25.4793,25.5088,561800
4/8/2010,25.1254,25.2212,24.4914,25.1844,546200
4/9/2010,25.2986,25.3613,25.1475,25.3613,362000
4/12/2010,25.5272,25.7779,25.494,25.7226,187600
4/13/2010,25.7262,25.7262,25.4387,25.6783,330000
4/14/2010,25.5456,25.5862,25.3281,25.4719,381800
4/15/2010,24.9042,25.0996,24.8084,24.919,349200
4/16/2010,24.7715,24.8194,24.3587,24.5761,356000
4/19/2010,24.3365,24.7485,24.3365,24.7346,347400
4/20/2010,25.059,25.1512,24.9782,25.1401,274000
4/21/2010,24.9374,25.0111,24.8194,24.8415,267000
4/22/2010,24.6683,24.7715,24.5651,24.7715,167600
4/23/2010,24.801,25.0255,24.7641,24.9079,184000
4/26/2010,24.9263,25.0996,24.8858,24.8858,517800
4/27/2010,24.5208,24.7015,24.1006,24.108,321200
4/28/2010,23.9569,23.9716,23.5292,23.7025,470600
4/29/2010,23.5772,23.8094,23.4518,23.8094,564800
4/30/2010,23.3265,23.426,23.1827,23.3892,564400
5/3/2010,23.4002,23.544,23.2122,23.3523,190400
5/4/2010,23.5182,23.5182,23.3007,23.3376,273400
5/5/2010,23.0574,23.1311,22.8584,22.9468,284800
5/6/2010,22.8694,22.9837,21.1258,22.4234,563000
5/7/2010,22.1985,22.3497,21.664,21.97,777800
5/10/2010,22.6888,22.963,22.5966,22.8547,448200
5/11/2010,22.4234,22.9726,22.3386,22.7515,360200
5/12/2010,22.8178,22.8731,22.6077,22.7367,350200
5/13/2010,22.5929,22.6446,22.287,22.357,343000
5/14/2010,22.2317,22.2686,21.7893,22.04,456200
5/17/2010,22.0253,22.0732,21.594,22.0068,502200
5/18/2010,21.9552,21.9843,21.2475,21.5719,495600
5/19/2010,21.4281,21.6566,21.2548,21.6161,454600
5/20/2010,21.1443,21.2991,20.7461,21.0115,645800
5/21/2010,20.783,21.347,20.7498,21.288,571200
5/24/2010,21.3507,21.4834,21.1369,21.1406,363400
5/25/2010,20.8825,21.0189,20.6429,20.9452,638800
5/26/2010,21.4539,21.5792,21.0042,21.0115,554400
5/27/2010,21.535,21.8225,21.4613,21.782,521200
5/28/2010,21.8631,21.8926,21.5527,21.5829,399400
6/1/2010,22.2354,22.8989,22.1875,22.5377,1101200
6/2/2010,22.7404,23.0316,22.6556,23.0316,771200
6/3/2010,23.2344,23.2896,22.9653,23.0795,471000
6/4/2010,22.8547,23.0021,22.4713,22.5966,447200
6/7/2010,22.7663,22.9202,22.5082,22.5413,360400
6/8/2010,22.5155,22.921,22.4676,22.921,362600
6/9/2010,22.9247,23.1274,22.6888,22.8547,457200
6/10/2010,23.1643,23.4998,23.1426,23.4776,544200
6/11/2010,23.1348,23.3413,23.0242,23.3265,577400
6/14/2010,23.6472,24.2663,23.5329,23.6103,445200
6/15/2010,23.7836,23.9421,23.732,23.85,504800
6/16/2010,23.8684,24.0785,23.7725,24.0158,690800
6/17/2010,23.931,24.2849,23.8758,24.2554,629200
6/18/2010,23.8389,23.8647,23.7025,23.7209,556400
6/21/2010,23.9495,23.9532,23.5292,23.6693,398600
6/22/2010,23.791,23.9237,23.4813,23.4813,384000
6/23/2010,23.7873,23.8868,23.6214,23.6656,331600
6/24/2010,23.6251,23.6509,23.3523,23.4408,199200
6/25/2010,23.6251,23.7659,23.4297,23.6288,315600
6/28/2010,23.5219,23.9905,23.4445,23.861,336000
6/29/2010,23.5477,23.5698,23.1569,23.356,215200
6/30/2010,23.4297,23.6767,23.2749,23.3339,238400
7/1/2010,23.5108,23.6361,23.238,23.5182,482400
7/2/2010,23.802,23.9016,23.6288,23.8168,452200
7/6/2010,24.2001,24.3734,23.9804,24.1264,336000
7/7/2010,24.1559,24.4619,24.1338,24.3845,345600
7/8/2010,24.5098,24.8157,24.5098,24.7494,252800
7/9/2010,24.5946,24.7273,24.5142,24.672,215200
7/12/2010,24.5098,24.7273,24.5024,24.6978,191400
7/13/2010,25.3761,25.5043,25.2765,25.3797,408000
7/14/2010,25.4608,25.5309,25.3255,25.4793,256400
7/15/2010,25.7262,26.0506,25.5419,26.0469,544600
7/16/2010,25.8405,26.0211,25.3539,25.435,243200
7/19/2010,25.306,25.4129,24.9927,25.2913,380800
7/20/2010,24.8932,25.3982,24.8895,25.3724,514800
7/21/2010,25.247,25.2699,24.7715,24.8968,221800
7/22/2010,25.0295,25.5235,24.989,25.4608,268200
7/23/2010,25.5014,25.9069,25.4055,25.8811,338800
7/26/2010,26.0506,26.1022,25.8479,26.0543,272000
7/27/2010,26.0543,26.1391,25.7631,26.0838,286200
7/28/2010,25.87,25.929,25.6193,25.7336,314600
7/29/2010,25.4572,25.623,25.2102,25.365,388800
7/30/2010,25.2286,25.5641,25.1991,25.4092,233200
8/2/2010,25.7226,25.7926,25.5825,25.7373,297200
8/3/2010,25.9437,26.2718,25.9367,26.0801,320800
8/4/2010,26.2608,26.4266,26.2349,26.3382,301400
8/5/2010,26.0728,26.1133,25.8958,26.0986,146000
8/6/2010,25.9659,26.2644,25.9659,26.2644,113200
8/9/2010,26.4266,26.4893,26.3713,26.3898,119600
8/10/2010,25.9179,26.2386,25.7484,26.1723,310200
8/11/2010,25.623,25.6525,25.5131,25.5346,315800
8/12/2010,25.5567,25.7484,25.5567,25.7262,145400
8/13/2010,25.8626,26.0248,25.859,25.9364,238600
8/16/2010,25.9548,26.1944,25.9216,26.128,271000
8/17/2010,26.1465,26.3013,26.0469,26.2202,199000
8/18/2010,26.2641,26.2641,25.9647,26.1181,156800
8/19/2010,25.9086,25.9385,25.366,25.4558,273600
8/20/2010,25.1976,25.3099,25.0704,25.2238,213400
8/23/2010,25.25,25.4633,25.2201,25.2201,166400
8/24/2010,25.265,25.5419,25.1452,25.3174,198000
8/25/2010,25.1228,25.4296,25.0517,25.3548,141200
8/26/2010,25.7103,25.845,25.5084,25.5232,233800
8/27/2010,25.8225,25.8712,25.5307,25.7814,178000
8/30/2010,25.7888,25.8936,25.5793,25.6205,118000
8/31/2010,25.4334,25.6018,25.3099,25.4221,194200
9/1/2010,26.2229,26.5073,26.1331,26.3988,213800
9/2/2010,26.1518,26.6308,26.1518,26.6308,131000
9/3/2010,26.6869,26.8291,26.5881,26.8291,168200
9/7/2010,26.4549,26.5597,26.3913,26.5297,151800
9/8/2010,26.7879,27.0087,26.7879,26.889,91400
9/9/2010,26.9788,27.1284,26.889,26.9788,114400
9/10/2010,27.222,27.2818,27.1456,27.2295,116400
9/13/2010,27.4203,27.4727,27.2706,27.3342,136800
9/14/2010,27.1771,27.4615,27.1172,27.323,124600
9/15/2010,27.2706,27.6298,27.1995,27.5438,139800
9/16/2010,27.4951,27.6093,27.3529,27.5251,107600
9/17/2010,27.7234,27.8207,27.5447,27.6523,118600
9/20/2010,27.7645,28.0602,27.7275,28.0602,138200
9/21/2010,28.0564,28.1612,27.8282,28.0639,237400
9/22/2010,28.135,28.2398,27.9217,28.004,266400
9/23/2010,27.8618,28.1687,27.7833,28.1013,192600
9/24/2010,28.5316,28.8197,28.5241,28.6364,308800
9/27/2010,28.5466,28.6252,28.3857,28.4418,435800
9/28/2010,28.0489,28.6252,27.8731,28.2884,436600
9/29/2010,28.1462,28.2585,28.0302,28.0452,195400
9/30/2010,28.367,28.4381,27.8469,27.9554,267000
10/1/2010,28.0938,28.1051,27.8282,27.9629,246000
10/4/2010,27.9142,27.9965,27.7234,27.7533,129000
10/5/2010,28.1013,28.337,28.0265,28.2734,247600
10/6/2010,28.2734,28.367,28.0452,28.0676,316200
10/7/2010,28.2809,28.3071,27.9067,28.0564,502600
10/8/2010,28.2585,28.4194,28.1649,28.3707,262400
10/11/2010,28.5017,28.5204,28.3146,28.3445,154800
10/12/2010,28.6439,28.6514,28.4119,28.6401,216200
10/13/2010,28.7898,29.0181,28.7187,28.9357,129000
10/14/2010,28.8946,29.0368,28.8534,29.033,470000
10/15/2010,29.2014,29.2276,28.9245,29.0368,166200
10/18/2010,28.8796,29.3324,28.816,29.1902,1220200
10/19/2010,28.7449,28.9732,28.6955,28.8347,594000
10/20/2010,28.9919,29.2595,28.9582,29.1415,192000
10/21/2010,29.1266,29.2314,28.8385,29.0368,171800
10/22/2010,28.7262,28.8197,28.5952,28.6252,339400
10/25/2010,28.7748,28.9507,28.584,28.7262,1195800
10/26/2010,28.7861,28.9994,28.7374,28.9208,318200
10/27/2010,28.6663,28.7038,28.2622,28.5429,206600
10/28/2010,28.6701,28.7674,28.4979,28.7225,247000
10/29/2010,28.6102,28.6888,28.468,28.5241,134400
11/1/2010,28.6214,28.7861,28.5692,28.6925,1062400
11/2/2010,29.3661,29.3997,29.1977,29.2763,396400
11/3/2010,29.4072,29.5606,29.2052,29.5045,295200
11/4/2010,29.86,29.9311,29.527,29.6617,271000
11/5/2010,29.6766,29.7851,29.5606,29.6542,386800
11/8/2010,29.5045,29.6504,29.4521,29.5606,131600
11/9/2010,29.5606,29.6355,29.0293,29.1341,253200
11/10/2010,29.2239,29.2538,28.9432,29.2239,293200
11/11/2010,29.1565,29.1603,28.9208,29.1378,329400
11/12/2010,29.0517,29.2201,28.5354,28.9432,190400
11/15/2010,28.9806,29.0779,28.7374,28.8459,223800
11/16/2010,28.5915,28.6588,28.1659,28.3109,457600
11/17/2010,28.1724,28.2959,28.1312,28.1574,455400
11/18/2010,28.6214,28.9994,28.599,28.8646,163800
11/19/2010,28.7636,29.0966,28.5952,29.0966,1242400
11/22/2010,28.8048,28.9283,28.5634,28.7674,303000
11/23/2010,28.4605,28.483,28.0938,28.2547,375200
11/24/2010,28.2472,28.3632,28.1275,28.337,234200
11/26/2010,28.0564,28.1986,27.9517,28.0152,241600
11/29/2010,27.4839,27.5251,27.1434,27.424,696200
11/30/2010,27.2407,27.4876,27.1961,27.2781,369600
12/1/2010,27.5625,27.7009,27.3455,27.6635,407200
12/2/2010,27.3305,27.7795,27.3193,27.6785,419600
12/3/2010,27.787,27.9928,27.7645,27.9479,387200
12/6/2010,27.918,27.9217,27.6523,27.772,317200
